-0.000247332,-0.00224814,0.01,0
0.000602728,0.00567288,0.010185,0.05
-0.00161528,-0.00806231,0.00947794,0.1
0.00304291,0.0151481,0.0111598,0.15
0.0168162,0.0640056,0.0158834,0.2
0.0115909,0.0381167,0.0126543,0.25
0.00467943,0.0143366,0.00915016,0.3
0.0276302,0.069623,0.0182134,0.35
0.0242774,0.0553009,0.0153762,0.4
0.0183156,0.0382755,0.0117037,0.45
0.0106265,0.0207689,0.00762082,0.5
0.0255157,0.0454655,0.0135566,0.55
0.0528518,0.0874413,0.0243653,0.6
0.0739886,0.114753,0.0316329,0.65
0.0426207,0.0614781,0.0154766,0.7
0.0969512,0.134587,0.0378821,0.75
0.131731,0.174436,0.0501882,0.8
0.141609,0.178451,0.0506973,0.85
0.0527047,0.0578631,0.00747635,0.9
-0.0411772,-0.0598395,-0.0354329,0.95
-0.103324,-0.131795,-0.0617582,1
0.0237318,0.0197399,-0.00205642,1.05
-0.00838458,-0.0178079,-0.0169023,1.1
-0.0194277,-0.0299081,-0.0214739,1.15
-0.147063,-0.168332,-0.0785055,1.2
-0.171154,-0.189056,-0.0856215,1.25
-0.0357704,-0.0402756,-0.0195983,1.3
-0.0728204,-0.0778288,-0.035633,1.35
-0.0419993,-0.0437615,-0.0196859,1.4
-0.124105,-0.126516,-0.0565314,1.45
-0.0531718,-0.0509238,-0.0207956,1.5
0.135884,0.141182,0.0680839,1.55
0.27601,0.27794,0.12996,1.6
0.299926,0.29443,0.134628,1.65
0.390599,0.37658,0.170059,1.7
0.351044,0.327315,0.142803,1.75
0.439571,0.405637,0.176492,1.8
0.501402,0.455341,0.195877,1.85
0.479837,0.421617,0.175223,1.9
0.61433,0.54148,0.227945,1.95
0.439143,0.355108,0.134198,2
0.583881,0.485759,0.192833,2.05
0.653438,0.539509,0.213642,2.1
0.80214,0.668584,0.269297,2.15
0.852991,0.698963,0.277214,2.2
0.906904,0.731199,0.285773,2.25
0.907086,0.710316,0.26948,2.3
1.10566,0.881066,0.341893,2.35
1.11882,0.868438,0.328298,2.4
1.27874,0.99663,0.379068,2.45
1.30056,0.988792,0.366989,2.5
1.42805,1.08156,0.400278,2.55
1.63558,1.24736,0.464971,2.6
1.74662,1.31669,0.485243,2.65
1.70579,1.24039,0.44138,2.7
1.81621,1.30789,0.461021,2.75
1.93769,1.38335,0.483472,2.8
2.02777,1.42697,0.49173,2.85
2.21332,1.55722,0.536158,2.9
2.24265,1.53936,0.517552,2.95
2.38389,1.62407,0.541821,3
2.50838,1.69056,0.557913,3.05
2.61172,1.73547,0.564799,3.1
2.88419,1.93073,0.631697,3.15
2.90334,1.89315,0.604265,3.2
3.02669,1.94884,0.614271,3.25
3.19652,2.04343,0.639111,3.3
3.45229,2.21004,0.690956,3.35
3.5067,2.19574,0.672332,3.4
3.64622,2.25507,0.68204,3.45
3.79258,2.31803,0.69283,3.5
3.79966,2.25987,0.658469,3.55
3.95433,2.32809,0.671412,3.6
4.1742,2.44864,0.703006,3.65
4.26796,2.45986,0.694397,3.7
4.48386,2.57157,0.721837,3.75
4.58138,2.58211,0.712814,3.8
4.7983,2.68947,0.737907,3.85
4.80677,2.62421,0.702488,3.9
4.9439,2.66409,0.704123,3.95
5.156,2.76234,0.725595,4
5.29531,2.79956,0.725912,4.05
5.61282,2.97566,0.772705,4.1
